MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,MedHouseVal
8.3252,41.0,6.984,1.024,322.0,2.556,4.526
8.3014,21.0,6.238,0.972,2401.0,2.109,3.585
7.2574,52.0,8.288,1.073,496.0,2.802,3.521
5.6431,52.0,5.817,1.073,558.0,2.547,3.413
3.8462,52.0,6.282,1.081,565.0,2.181,3.422
4.0368,52.0,4.761,1.104,413.0,2.139,2.697
3.6591,52.0,4.931,0.951,1094.0,2.128,2.992
3.12,52.0,4.797,1.061,1157.0,1.788,2.414
2.0804,42.0,4.294,1.117,1206.0,2.026,2.267
3.6912,52.0,4.970,0.990,1551.0,2.172,2.611
3.2031,52.0,5.477,1.079,910.0,2.203,2.815
3.2705,52.0,4.772,1.025,1504.0,2.049,2.572
3.075,52.0,5.322,1.013,1098.0,2.346,2.401
2.6736,52.0,4.000,1.098,345.0,1.983,1.988
1.9167,52.0,4.263,1.009,1212.0,1.981,1.918
2.125,50.0,4.242,1.072,697.0,2.039,1.895
2.775,52.0,5.939,1.048,793.0,2.395,1.625
2.1202,52.0,4.052,0.966,648.0,2.138,1.797
1.9911,50.0,5.343,1.085,990.0,2.362,1.787
2.6033,52.0,5.465,1.093,690.0,2.023,2.194
1.3578,40.0,4.524,1.108,409.0,2.091,1.625
1.7135,42.0,4.478,1.002,929.0,2.312,1.375
1.725,52.0,5.096,1.132,853.0,2.722,1.625
2.1806,52.0,5.193,1.036,1000.0,2.593,1.669
2.6,52.0,5.270,1.035,1077.0,2.293,1.667
2.4038,41.0,4.552,1.078,1253.0,2.184,1.65
2.2222,52.0,5.269,1.035,1182.0,2.458,1.775
2.1,52.0,4.413,1.048,866.0,2.065,2.067
2.0417,43.0,4.906,1.033,1185.0,2.321,1.75
1.6563,52.0,4.596,1.033,1121.0,2.208,1.639
2.5,52.0,5.071,1.023,1177.0,2.261,1.7
2.4167,52.0,5.075,1.061,1133.0,2.196,1.75
2.0682,52.0,4.452,1.046,1226.0,1.905,1.667
2.8,52.0,5.127,1.078,1080.0,2.199,2.013
2.0104,52.0,4.795,1.076,1097.0,2.128,1.875
2.1667,52.0,5.165,1.093,1088.0,2.295,1.833
2.5,42.0,5.296,1.087,883.0,2.453,2.025
2.875,36.0,5.008,1.042,1001.0,2.126,1.875
2.15,52.0,6.086,1.120,759.0,2.087,1.838
1.8088,48.0,4.666,1.047,1159.0,2.202,1.612
2.0,52.0,4.788,1.051,1196.0,2.042,1.712
2.2,52.0,4.859,1.076,917.0,2.086,1.75
2.4318,38.0,4.867,0.988,1043.0,2.189,2.089
1.7604,31.0,4.892,0.991,892.0,2.128,2.058
1.875,50.0,4.768,1.045,994.0,2.212,2.0
2.0781,52.0,4.939,1.035,1200.0,2.185,2.012
2.2,52.0,5.212,1.054,1119.0,2.247,2.188
3.3421,37.0,5.179,1.018,1160.0,2.064,2.875
3.5417,39.0,5.197,1.054,833.0,2.139,2.719
2.5536,36.0,5.197,1.056,1161.0,2.133,2.125
2.1667,36.0,5.002,1.033,1190.0,2.070,2.2
1.8627,47.0,4.738,1.036,1168.0,2.241,2.075
1.6875,52.0,4.788,1.084,1111.0,2.266,1.812
1.975,52.0,4.924,1.046,1156.0,2.176,1.887
2.2143,40.0,4.842,1.002,985.0,2.070,2.225
1.8333,52.0,4.887,1.040,1175.0,2.118,1.875
1.7188,52.0,5.039,1.037,1093.0,2.165,1.725
2.3125,52.0,5.269,1.074,1090.0,2.253,1.9
2.4583,52.0,5.103,1.061,1095.0,2.282,1.844
2.275,52.0,5.035,1.035,1152.0,2.206,1.75
2.2115,52.0,4.787,1.038,1254.0,2.163,1.808
2.0833,52.0,4.764,1.046,1181.0,2.184,1.85
2.1071,52.0,5.042,1.051,1074.0,2.200,1.913
2.75,52.0,5.232,1.062,1047.0,2.202,2.075
2.7554,52.0,5.200,1.020,1206.0,2.179,2.1
3.1792,52.0,5.326,1.046,1085.0,2.114,2.175
2.9271,52.0,5.207,1.050,1116.0,2.142,2.175
3.5,52.0,5.343,1.053,1025.0,2.165,2.125
2.9821,52.0,5.149,1.029,1088.0,2.085,2.25
2.6591,52.0,5.041,1.035,1208.0,2.094,2.175
3.1875,52.0,5.295,1.043,1125.0,2.219,2.275
2.5362,52.0,4.884,1.016,1192.0,2.057,2.062
2.7386,52.0,5.254,1.069,1136.0,2.246,2.15
2.7344,52.0,5.212,1.045,1150.0,2.174,2.15
2.8906,52.0,5.337,1.037,1089.0,2.109,2.062
2.5625,52.0,5.216,1.045,1141.0,2.141,1.913
2.4063,52.0,5.025,1.039,1143.0,2.136,1.925
2.3125,52.0,5.133,1.045,1135.0,2.180,1.838
2.6406,52.0,5.335,1.071,1126.0,2.264,1.988
2.9063,52.0,5.451,1.051,1114.0,2.218,2.112
2.9063,52.0,5.232,1.033,1140.0,2.131,2.025
2.3571,52.0,4.894,1.008,1263.0,2.212,1.977
2.875,52.0,5.348,1.055,1058.0,2.179,2.15
2.3409,52.0,5.093,1.036,1165.0,2.211,2.0
3.0179,52.0,5.332,1.042,1069.0,2.127,2.213
2.5,52.0,5.021,1.018,1206.0,2.063,2.0
2.625,52.0,5.129,1.040,1158.0,2.140,1.987
2.5104,52.0,5.131,1.027,1226.0,2.076,1.975
2.6875,52.0,5.199,1.037,1201.0,2.117,2.05
2.5625,52.0,5.042,1.028,1215.0,2.085,2.0
2.7917,52.0,5.353,1.057,1124.0,2.232,2.05
2.3281,52.0,4.988,1.031,1176.0,2.088,1.925
2.2639,52.0,5.134,1.041,1209.0,2.158,2.0
2.8125,52.0,5.216,1.029,1196.0,2.100,2.05
2.5781,52.0,5.004,1.005,1205.0,2.013,1.938
2.6771,52.0,5.147,1.031,1255.0,2.155,2.1
2.7917,52.0,5.316,1.034,1126.0,2.183,2.138
2.5625,52.0,5.119,1.031,1169.0,2.101,1.9
